dataset_id,path,status,source,query_files,dimensions,primary_use,release_note
bj_synthetic,data/BJ_Synthetic_query_sets,release-candidate,generated_by_gro,270,"Hop 5/10/40 x Rep 1/2/4 x seeds 0-29",main ablation and parameter sensitivity,"Our controlled synthetic BJ query sets; include metadata.json and seed_summary.csv."
bj_real_derived,data/BJ_Real_query_sets,"release-candidate; derived-from-third-party",T-Drive-derived,15,"Rep 1/5/10 x seeds 0-4",real workload robustness and congestion diagnostics,"Derived OD query sets, not raw trajectories; do not include T-drive zip without upstream license clearance."
bj_real_window1h,data/BJ_Real_query_sets_window1h,"release-candidate; derived-from-third-party",rescaled_bj_real_derived,15,"Rep 1/5/10 x seeds 0-4; departures [0,3600]",dense workload checks and scalability probes,"Temporal stress variant preserving OD pairs and relative order."
bj_real_window6h,data/BJ_Real_query_sets_window6h,"release-candidate; derived-from-third-party",rescaled_bj_real_derived,15,"Rep 1/5/10 x seeds 0-4; departures [0,21600]",controlled moderate-congestion real workload,"Temporal stress variant preserving OD pairs and relative order."
bj_scalability_original,data/BJ_Real_query_sets_scalability_original,"release-candidate; derived-from-third-party",bj_real_derived_scalability_variant,30,"Rep 1/2/3/5/7/10 x seeds 0-4",Exp3 scalability baseline workloads,"Controlled scalability query-count variants."
bj_scalability_window6h,data/BJ_Real_query_sets_scalability_window6h,"release-candidate; derived-from-third-party",bj_real_derived_scalability_variant,30,"Rep 1/2/3/5/7/10 x seeds 0-4; six-hour window",Exp3 scalability time-window workloads,"Controlled scalability query-count variants."
bj_scalability_inner_progressive_peak1h,data/BJ_Real_query_sets_scalability_inner_progressive_peak1h,"release-candidate; derived-from-third-party",bj_real_derived_scalability_variant,30,"10k/20k/30k/50k/70k/100k x seeds 0-4; peak 1h",Exp3 high-congestion compression and scalability,"Current high-congestion paper-facing scalability candidate."
bj_graph,data/BJ.txt,external-input,external_road_network,0,"296710 vertices; 651748 directed edges in current config",BJ graph input,"Verify redistribution rights before public release."
bj_coordinates,data/BJ_NodeIDLonLat.txt,external-input,external_road_network,0,node coordinates,BJ graph coordinates,"Verify redistribution rights before public release."
selected_ablation_impact_oracle,python/results/experiments/exp1_component_ablation/bj_synthetic_capacity2_cap10e8/analysis/selected_datasets_for_component_reroute_3x3_top10_per_panel.csv,internal-result-artifact,bj_synthetic_results,0,"10 selected seeds per Rep-Hop panel",selected ablation figure reproduction,"Figure-reproduction data only; not an unbiased all-dataset benchmark."
selected_ablation_impact_oracle_plot_data,python/results/experiments/exp1_component_ablation/bj_synthetic_capacity2_cap10e8/analysis/plot_data_component_reroute_3x3_selected_top10_per_panel.csv,internal-result-artifact,bj_synthetic_results,0,aggregated plot curves,selected ablation figure reproduction,"Figure-reproduction data only; not an unbiased all-dataset benchmark."
selected_ablation_impact_w30,python/results/experiments/exp1_component_ablation/bj_synthetic_capacity2_cap10e8/analysis/selected_datasets_for_component_reroute_3x3_top10_per_panel_impact_w30.csv,internal-result-artifact,bj_synthetic_results,0,"10 selected seeds per Rep-Hop panel",selected ablation figure reproduction,"Figure-reproduction data only; not an unbiased all-dataset benchmark."
selected_ablation_impact_w30_plot_data,python/results/experiments/exp1_component_ablation/bj_synthetic_capacity2_cap10e8/analysis/plot_data_component_reroute_3x3_selected_top10_per_panel_impact_w30.csv,internal-result-artifact,bj_synthetic_results,0,aggregated plot curves,selected ablation figure reproduction,"Figure-reproduction data only; not an unbiased all-dataset benchmark."
