hop,rep,rows,mean_value_better_than_random,median_value_better_than_random,mean_random_reduction,mean_total_before,mean_tdg_total_selection_sec,median_tdg_total_selection_sec,mean_random_selection_sec,median_random_selection_sec,mean_extra_time_vs_random_sec,median_extra_time_vs_random_sec,mean_selected_fraction,pct_vs_random_reduction_of_means,pct_of_mean_total_before,mean_slowdown_ratio
10,1,180,141908.75,296340.0,12240081.155555556,21129199.05,0.2579139111111111,0.23880250000000003,9.368888888888889e-05,9.4e-05,0.25782022222222223,0.23870950000000002,0.4717827690972222,1.1593775253327478,0.6716238966947495,2752.876185958254
10,2,180,496150.6,898834.5,29797577.616666667,57364637.35,0.7012130166666667,0.6521509999999999,0.00017697222222222222,0.000177,0.7010360444444445,0.651975,0.4357638888888889,1.6650702496114593,0.8649067141710083,3962.277287709936
10,4,180,1393622.7,1922136.0,64663453.43888889,134216146.0,1.6601839555555553,1.6355395,0.00034357222222222223,0.000343,1.6598403833333335,1.6351965,0.42593587239583336,2.1551937390987983,1.0383420635547083,4832.12509095613
20,1,180,327149.8277777778,303303.0,22569758.67777778,44147894.5,0.6100564611111111,0.561933,9.444444444444446e-05,9.4e-05,0.6099620166666666,0.561839,0.42107204861111114,1.449505209375101,0.7410315519753219,6459.421352941175
20,2,180,784945.65,670789.0,50988106.472222224,115103365.6,1.6880757499999999,1.465281,0.00017786666666666664,0.000177,1.6878978833333333,1.465104,0.37128634982638886,1.539468131509512,0.6819484781425019,9490.680753373314
20,4,180,1314364.9722222222,1370331.5,122152954.85,272706806.15,4.121377283333333,3.8393930000000003,0.0003462277777777778,0.000343,4.121031055555555,3.8390165000000005,0.3930419921875,1.075999327102829,0.4819699921604697,11903.65865438616
40,1,180,323873.9888888889,246894.0,34872908.15,72255411.45,1.0914722277777777,1.0364849999999999,9.43e-05,9.4e-05,1.0913779277777778,1.0363915000000001,0.41041124131944445,0.9287266421710485,0.4482349244014842,11574.46689053847
40,2,180,457860.11666666664,260456.5,91099055.18888889,196926437.05,3.0796888388888886,2.8073569999999997,0.00017759444444444446,0.000177,3.0795112444444444,2.8071795,0.37716471354166664,0.5025959003826316,0.23250312326039546,17341.132761910718
40,4,180,894673.5611111111,1038110.0,248765465.51666668,502447558.2,8.310233605555556,7.454412499999999,0.0003467333333333333,0.000345,8.309886872222222,7.454067499999999,0.41580810546875,0.3596454030518035,0.17806307275454702,23967.218627827984
