hop,rep,gamma,rows,mean_value_better_than_random,median_value_better_than_random,mean_random_reduction,mean_total_before,mean_tdg_total_selection_sec,median_tdg_total_selection_sec,mean_random_selection_sec,median_random_selection_sec,mean_extra_time_vs_random_sec,median_extra_time_vs_random_sec,mean_selected_fraction,pct_vs_random_reduction_of_means,pct_of_mean_total_before,mean_slowdown_ratio
10,1,25,60,114407.3,317693.5,5807596.45,21129199.05,0.2043143,0.2013295,9.408333333333333e-05,9.4e-05,0.20422021666666665,0.2012355,0.19513346354166666,1.969959534636743,0.5414653898108834,2171.631178033658
10,1,50,60,134503.48333333334,353810.0,13031876.333333334,21129199.05,0.2595659,0.242508,9.375e-05,9.4e-05,0.25947215,0.24241449999999998,0.4845377604166667,1.0321114158311662,0.6365763463870313,2768.7029333333335
10,1,75,60,176815.46666666667,230117.0,17880770.683333334,21129199.05,0.3098615333333333,0.285373,9.323333333333333e-05,9.3e-05,0.3097683,0.28528,0.7356770833333334,0.9888581974348363,0.8368299538863336,3323.5058991776905
10,2,25,60,261302.65,831290.0,12196623.833333334,57364637.35,0.49553759999999997,0.47070500000000004,0.000177,0.000177,0.4953606,0.47052900000000003,0.16876627604166666,2.1424178819540263,0.45551172651142013,2799.6474576271185
10,2,50,60,751881.0333333333,1327526.5,29952623.233333334,57364637.35,0.6917262333333334,0.6587814999999999,0.00017695,0.000177,0.6915492833333334,0.6586045,0.42574869791666664,2.5102343373270513,1.3107047617957848,3909.16209852124
10,2,75,60,475268.11666666664,670094.0,47243485.78333333,57364637.35,0.9163752166666667,0.8707445,0.00017696666666666664,0.000177,0.9161982500000001,0.870568,0.7127766927083333,1.0059971417992464,0.82850365420582,5178.2362968543985
10,4,25,60,1314619.7166666666,1572286.0,21284563.85,134216146.0,1.0456679,0.9894345,0.00034429999999999997,0.000343,1.0453236000000001,0.989092,0.13597412109375,6.176399600815247,0.9794795602808224,3037.083647981412
10,4,50,60,1177010.8,2411217.5,66215946.766666666,134216146.0,1.6626832333333332,1.671978,0.00034355,0.000343,1.6623396833333333,1.6716365,0.43412679036458335,1.7775337474937554,0.8769517193557324,4839.712511521855
10,4,75,60,1689237.5833333333,2635222.0,106489849.7,134216146.0,2.2722007333333334,2.2122485,0.0003428666666666667,0.000343,2.2718578666666667,2.211905,0.7077067057291667,1.5862897619746883,1.2585949110275698,6627.068053665175
20,1,25,60,380308.3333333333,363058.0,7298500.016666667,44147894.5,0.4407366833333333,0.4345105,9.49e-05,9.4e-05,0.44064178333333337,0.43441700000000005,0.12360026041666666,5.210773891414277,0.8614416103883126,4644.222163681067
20,1,50,60,343333.65,330239.0,24350805.05,44147894.5,0.6186420833333333,0.5747145,9.43e-05,9.4e-05,0.6185477833333334,0.5746205,0.4328125,1.4099478407183093,0.7776897491679926,6560.361435136089
20,1,75,60,257807.5,209557.0,36059970.96666667,44147894.5,0.7707906166666666,0.6889735,9.413333333333334e-05,9.4e-05,0.7706964833333333,0.6888805,0.7068033854166667,0.7149409527764558,0.5839632963696604,8188.285587818696
20,2,25,60,625949.7,703019.5,17255576.116666667,115103365.6,1.1180396666666668,1.0603470000000002,0.0001783,0.000177,1.1178613666666666,1.06017,0.11824544270833333,3.6275213053907427,0.5438152887512091,6270.553374462517
20,2,50,60,793252.75,823157.5,52769356.95,115103365.6,1.6828357166666668,1.6112275,0.00017736666666666665,0.000177,1.68265835,1.6110499999999999,0.3750813802083333,1.5032450570728435,0.6891655564240078,9487.891655703817
20,2,75,60,935634.5,603676.0,82939386.35,115103365.6,2.2633518666666665,2.179115,0.00017793333333333334,0.000177,2.2631739333333334,2.1789375,0.6205322265625,1.128094312214549,0.8128645892522885,12720.22405395279
20,4,25,60,1119530.4166666667,1080910.5,35065493.88333333,272706806.15,2.441616666666667,2.3426109999999998,0.00034495,0.000343,2.441271716666667,2.3422660000000004,0.10880940755208333,3.1926840112147423,0.41052529361914014,7078.175581002079
20,4,50,60,1938259.4,2640351.5,115597399.28333333,272706806.15,3.9870414999999997,3.984056,0.0003470833333333333,0.000343,3.9866944166666665,3.983713,0.36529947916666666,1.676732705075187,0.7107484508229975,11487.27442977191
20,4,75,60,885305.1,942644.5,215795971.38333333,272706806.15,5.935473683333333,5.74973,0.00034665000000000005,0.000343,5.935127033333333,5.7493845,0.70501708984375,0.4102509858385499,0.3246362320392714,17122.381893360256
40,1,25,60,381219.1666666667,365944.5,14480432.25,72255411.45,0.8829224666666666,0.8719549999999999,9.42e-05,9.4e-05,0.8828282666666667,0.87186,0.15711263020833333,2.6326504629491754,0.5275994683532684,9372.849964614295
40,1,50,60,297791.23333333334,249245.0,34934071.55,72255411.45,1.0809161166666668,1.081721,9.421666666666666e-05,9.4e-05,1.0808219,1.0816275000000002,0.39578450520833336,0.8524378067615579,0.41213692837304206,11472.6635414824
40,1,75,60,292611.56666666665,187729.0,55204220.65,72255411.45,1.3105781,1.293018,9.448333333333333e-05,9.4e-05,1.3104836166666667,1.292923,0.6783365885416667,0.5300528894735274,0.40496837647814216,13870.997706826602
40,2,25,60,671439.0666666667,461324.0,37295016.05,196926437.05,2.2731688333333335,2.1863115,0.00017774999999999998,0.000177,2.2729910833333333,2.1861319999999997,0.13516438802083333,1.8003452948417935,0.3409593332032849,12788.572902015942
40,2,50,60,519827.9666666667,323816.0,87101726.21666667,196926437.05,2.9935331666666665,2.8235775,0.00017754999999999998,0.000177,2.993355616666667,2.8234005,0.34409993489583335,0.596805584970369,0.263970635153817,16860.226227353796
40,2,75,60,182313.31666666668,171490.5,148900423.3,196926437.05,3.9723645166666666,3.7702655,0.00017748333333333333,0.000177,3.9721870333333333,3.7700875,0.6522298177083333,0.12243975713846522,0.09257940142408455,22381.619964315898
40,4,25,60,1561107.05,1341099.5,84477692.7,502447558.2,5.394438783333333,5.408234,0.0003456166666666666,0.000345,5.394093166666666,5.4078865,0.13512369791666667,1.8479518084659998,0.3107004949118688,15608.155808458314
40,4,50,60,985433.7166666667,1525504.5,251701097.38333333,502447558.2,8.288814866666666,7.628711,0.0003453833333333333,0.000345,8.288469483333333,7.628363,0.4086181640625,0.39150950349885855,0.19612668040361209,23998.884910485933
40,4,75,60,137479.91666666666,400468.0,410117606.46666664,502447558.2,11.247447166666666,10.441013000000002,0.0003492,0.000345,11.247097966666667,10.440665500000001,0.7036824544270833,0.03352207135195028,0.027362042948160286,32209.184326078655
